batter,team,pa,OUT,BB,1B,2B,3B,HR
"Ogbourne, Archer",CLI_LUM1,33,0.5011515151515151,0.21212121212121213,0.27436363636363637,0.008727272727272728,0.0036363636363636372,0
"Ortiz, Andrew",TER_HAU,40,0.60205,0.225,0.13105,0.02375,0.012100000000000001,0.0060500000000000016
"Osenbaugh, Collin",KOK_CRE,36,0.5754814814814815,0.25,0.11836296296296296,0.028992592592592594,7.740740740740743e-4,0.026388888888888892
"Patterson, Tanner",CHI_PAI,37,0.6256756756756757,0.1891891891891892,0.13324324324324324,0.0307027027027027,0.0014594594594594592,0.019729729729729722
"Peltz, Troy",BUR_BEE1,55,0.4539987878787879,0.3272727272727273,0.16424363636363637,0.028632727272727282,0.015293333333333332,0.010558787878787881
"Pitts, Gabriel",CHI_PAI,31,0.5676774193548386,0.29032258064516125,0.1081290322580645,0.013419354838709674,0.02045161290322581,0
"Pomatto, Zach",THR_THR1,32,0.6292625,0.21875,0.137746875,0.014174999999999998,6.562499999999998e-5,0
"Ragsdale, Frederick",THR_THR1,41,0.5195121951219512,0.17073170731707318,0.2656368563685637,0.04254742547425474,0.0015718157181571811,0
"Ralls, Hayden",THR_THR1,31,0.5258709677419355,0.12903225806451615,0.2687741935483871,0.07038709677419357,0.0012258064516129036,0.004709677419354838
"Rauser, Matthew",O'F_HOO,36,0.6296714975845411,0.19444444444444448,0.15646376811594206,0.0183768115942029,4.6376811594202907e-4,5.797101449275363e-4
"Reich, Carder",DEC_BEA,30,0.6704444444444444,0.13333333333333333,0.17748148148148146,0.01725925925925926,0.0014814814814814814,0
"Reinartz, Tanner",BUR_BEE1,46,0.7179933110367893,0.06521739130434782,0.1585418060200669,0.05670234113712376,0.0013578595317725753,1.872909698996656e-4
"Rey, Caleb",JOH_MIL,35,0.7480571428571429,0.05714285714285715,0.1265714285714286,0.042,0.0020000000000000005,0.024228571428571433
"Rigopoulos, Foti",BUR_BEE1,53,0.6175262054507339,0.28301886792452835,0.08004192872117402,0.019287211740041936,1.257861635220126e-4,0
"Roberts, Chase",ILL_VAL3,32,0.5585000000000001,0.21875000000000003,0.19000000000000003,0.008062500000000002,8.750000000000001e-4,0.023812499999999997
"Russ, Evan",KOK_CRE,33,0.6712947658402205,0.06060606060606062,0.24052892561983474,0.01923966942148761,7.272727272727274e-4,0.007603305785123967
"Schulz, Simon",DUB_COU,37,0.4902130365659777,0.24324324324324326,0.24926550079491255,0.015949125596184416,0.0013290937996820347,0
"Senkpeil, Collin",CAP_CAT,39,0.6644615384615384,0.05128205128205128,0.21112820512820513,0.0651794871794872,0.005846153846153846,0.0021025641025641025
"Shear, Carson",O'F_HOO,31,0.621221198156682,0.22580645161290322,0.13658986175115206,0.016382488479262672,0,0
"Shelhamer, Baker",O'F_HOO,32,0.7296531250000001,0.09375000000000001,0.08537812500000001,0.037734375000000014,0.002690625,0.05079375
"Shinkle, Brody",CLI_LUM1,43,0.6449767441860466,0.16279069767441862,0.14613953488372095,0.011302325581395349,0.03144186046511629,0.003348837209302326
"Short, Brodie",QUI_DOG,36,0.45575,0.25,0.22305555555555556,0.0638,0.0013444444444444441,0.006050000000000001
"Smith, Caleb",JOH_MIL,34,0.6478991596638656,0.17647058823529413,0.16589355742296918,0.003759103641456583,0.005607843137254902,3.6974789915966385e-4
"Snitko, Jackson",DEC_BEA,38,0.5263957894736843,0.18421052631578946,0.23082526315789473,0.05117894736842106,0.005364210526315789,0.002025263157894737
"Sobieszczyk, Isaac",CLI_LUM1,50,0.5912000000000001,0.14000000000000004,0.15608000000000002,0.09744000000000003,0.005400000000000001,0.009880000000000003
"Stanek, Jackson",NOR_COR,49,0.5071836734693878,0.20408163265306123,0.18044897959183673,0.07216326530612244,0.013877551020408165,0.022244897959183677
"Steurer, Nicholas",O'F_HOO,32,0.6271875,0.125,0.18393749999999998,0.05125,0.005562499999999999,0.007062500000000001
"Stufft, Brayden",ILL_VAL3,36,0.5569053497942387,0.16666666666666663,0.2347736625514403,0.014115226337448557,0.003917695473251028,0.02362139917695472
"Szymanski, Dawson",ILL_VAL3,34,0.6611764705882353,0.14705882352941177,0.16370588235294117,0.019000000000000003,0.001176470588235294,0.00788235294117647
"Szymanski, Justin",ILL_VAL3,32,0.6310714285714285,0.15625,0.16627232142857143,0.038705357142857146,0.003549107142857143,0.004151785714285715
"Taulman, Brock",KOK_CRE,33,0.7173014354066986,0.18181818181818185,0.09860287081339712,0.002277511961722489,0,0
"Teixeira, Kila",BUR_BEE1,39,0.5818461538461538,0.23076923076923073,0.13969230769230767,0.028256410256410253,0.0017435897435897434,0.017692307692307688
"Thompson, Tyler",NOR_COR,50,0.5897363636363636,0.059999999999999984,0.30681818181818177,0.038168181818181816,0.004581818181818182,6.954545454545458e-4
"Tobin, Nick",JAC_ROC,33,0.45435406698564595,0.2727272727272727,0.231451355661882,0.040701754385964906,4.4657097288676234e-4,3.189792663476874e-4
"Vessells, Brady",O'F_HOO,41,0.6106341463414634,0.17073170731707318,0.174,0.02707317073170732,0.0012195121951219508,0.016341463414634147
"Voegele, Ben",NOR_COR,40,0.5454500000000001,0.22500000000000006,0.13955000000000004,0.039700000000000006,0.0033000000000000013,0.047
"Wassmann, Devin",THR_THR1,37,0.565873180873181,0.16216216216216217,0.23761122661122658,0.022060291060291063,0.0025259875259875265,0.009767151767151767
"Wielt, Ethan",ALT_RIV,35,0.42222857142857145,0.2285714285714286,0.2679428571428572,0.06417142857142859,0.01365714285714286,0.0034285714285714293
"Wouters, Cory",CAP_CAT,32,0.7390625,0.0625,0.1576766304347826,0.03865489130434782,0.0011548913043478264,9.510869565217391e-4
"Ziegler, Jaylen",CLI_LUM1,41,0.51255081300813,0.2682926829268293,0.1432418699186992,0.06539634146341464,0.006300813008130081,0.0042174796747967485
